"hotel","site","price","check_in_date"
"TRYP By Wyndham Times Square South","Travelocity","207","2016-01-13"
"Hotel Pennsylvania","otel.com","107","2016-01-13"
"Hilton New York","Hotels.com","148","2016-01-13"
"Four Points by Sheraton Manhattan SoHo Village","BookIt.com","104","2016-01-13"
"Doubletree Metropolitan","priceline.com","121","2016-01-13"
"New York Marriott Marquis","Hotwire","160","2016-01-13"
"Ramada Inn Eastside","HotelTravel","107","2016-01-13"
"Courtyard New York Manhattan - Chelsea","Booking.com","103","2016-01-13"
"Pod 39","Hotwire","84","2016-01-13"
"Courtyard New York Times Square West","Hotwire","118","2016-01-13"
"Four Points by Sheraton Midtown - Times Square","Hotels.com","94","2016-01-13"
"Hudson","Expedia","117","2016-01-13"
"Park Central","Hotwire","119","2016-01-13"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-13"
"The Hotel at Times Square","Amoma.com","124","2016-01-13"
"Grand Hyatt","Hotwire","158","2016-01-13"
"Holiday Inn New York City - Wall Street","Amoma.com","171","2016-01-13"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","103","2016-01-13"
"The Jane","Booking.com","98","2016-01-13"
"Novotel New York Times Square","Amoma.com","276","2016-01-13"
"Royalton","Hotwire","193","2016-01-13"
"Crowne Plaza Times Square Manhattan","Hotwire","142","2016-01-13"
"The Leon Hotel","Expedia","131","2016-01-13"
"Distrikt Hotel","Orbitz","128","2016-01-13"
"Holiday Inn Manhattan 6th Ave - Chelsea","Amoma.com","216","2016-01-13"
"TRYP By Wyndham Times Square South","Hotwire","207","2016-01-13"
"Hotel Pennsylvania","Hotels.com","119","2016-01-13"
"Hilton New York","priceline.com","148","2016-01-13"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","105","2016-01-13"
"Doubletree Metropolitan","Expedia","121","2016-01-13"
"New York Marriott Marquis","Amoma.com","256","2016-01-13"
"Ramada Inn Eastside","Amoma.com","124","2016-01-13"
"Courtyard New York Manhattan - Chelsea","Amoma.com","187","2016-01-13"
"Pod 39","Expedia","85","2016-01-13"
"Courtyard New York Times Square West","Amoma.com","226","2016-01-13"
"Four Points by Sheraton Midtown - Times Square","Orbitz","98","2016-01-13"
"Hudson","Travelocity","117","2016-01-13"
"Park Central","Hotels.com","119","2016-01-13"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-13"
"Hampton Inn Manhattan - Times Square North","Expedia","159","2016-01-14"
"The Hotel at Times Square","otel.com","110","2016-01-14"
"Holiday Inn New York City - Wall Street","Official hotel website","167","2016-01-14"
"Hampton Inn Manhattan-Seaport-Financial District","priceline.com","138","2016-01-14"
"Hyatt Times Square New York","Hotwire","324","2016-01-14"
"The Jane","Hotels.com","86","2016-01-14"
"Novotel New York Times Square","Official hotel website","209","2016-01-14"
"Row NYC","Booking.com","109","2016-01-14"
"Royalton","priceline.com","187","2016-01-14"
"Crowne Plaza Times Square Manhattan","Official hotel website","179","2016-01-14"
"The Leon Hotel","priceline.com","139","2016-01-14"
"Distrikt Hotel","Hotwire","159","2016-01-14"
"Holiday Inn Manhattan 6th Ave - Chelsea","Official hotel website","119","2016-01-14"
"TRYP By Wyndham Times Square South","Travelocity","219","2016-01-14"
"Hilton New York","Hotwire","169","2016-01-14"
"Wyndham New Yorker","Orbitz","118","2016-01-14"
"Four Points by Sheraton Manhattan SoHo Village","priceline.com","179","2016-01-14"
"Doubletree Metropolitan","priceline.com","459","2016-01-14"
"New York Marriott Marquis","Official hotel website","349","2016-01-14"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","Expedia","159","2016-01-14"
"Ramada Inn Eastside","BookIt.com","90","2016-01-14"
"Courtyard New York Manhattan - Chelsea","Official hotel website","209","2016-01-14"
"Pod 39","priceline.com","100","2016-01-14"
"Courtyard New York Times Square West","Official hotel website","199","2016-01-14"
"Four Points by Sheraton Midtown - Times Square","Travelocity","195","2016-01-14"
"Hampton Inn Manhattan - Times Square North","Orbitz","159","2016-01-14"
"The Hotel at Times Square","priceline.com","120","2016-01-14"
"Holiday Inn New York City - Wall Street","priceline.com","167","2016-01-14"
"Hampton Inn Manhattan-Seaport-Financial District","BookIt.com","138","2016-01-14"
"Hyatt Times Square New York","Travelocity","324","2016-01-14"
"The Jane","Travelocity","86","2016-01-14"
"Novotel New York Times Square","Hotwire","209","2016-01-14"
"Row NYC","Hotwire","109","2016-01-14"
"Royalton","Hotwire","221","2016-01-14"
"Crowne Plaza Times Square Manhattan","Orbitz","179","2016-01-14"
"The Leon Hotel","Travelocity","139","2016-01-14"
"Distrikt Hotel","Travelocity","159","2016-01-14"
"Holiday Inn Manhattan 6th Ave - Chelsea","priceline.com","119","2016-01-14"
"TRYP By Wyndham Times Square South","Hotwire","219","2016-01-14"
"Hilton New York","Expedia","169","2016-01-14"
"Wyndham New Yorker","Expedia","118","2016-01-14"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","179","2016-01-14"
"Doubletree Metropolitan","Expedia","459","2016-01-14"
"New York Marriott Marquis","priceline.com","349","2016-01-14"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","BookIt.com","159","2016-01-14"
"Ramada Inn Eastside","HotelTravel","93","2016-01-14"
"Courtyard New York Manhattan - Chelsea","Booking.com","209","2016-01-14"
"Pod 39","Hotwire","100","2016-01-14"
"Courtyard New York Times Square West","Hotwire","199","2016-01-14"
"Four Points by Sheraton Midtown - Times Square","Expedia","195","2016-01-14"
"Hampton Inn Manhattan - Times Square North","Hotels.com","159","2016-01-14"
"The Hotel at Times Square","Orbitz","","2016-01-14"
"Holiday Inn New York City - Wall Street","Hotels.com","169","2016-01-14"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","138","2016-01-14"
"Hyatt Times Square New York","Orbitz","324","2016-01-14"
"The Jane","Booking.com","88","2016-01-14"
"Novotel New York Times Square","Travelocity","209","2016-01-14"
"Row NYC","Orbitz","109","2016-01-14"
"Royalton","Expedia","221","2016-01-14"
"Crowne Plaza Times Square Manhattan","Hotwire","179","2016-01-14"
"The Leon Hotel","Hotwire","139","2016-01-14"
"Distrikt Hotel","Expedia","159","2016-01-14"
"Holiday Inn Manhattan 6th Ave - Chelsea","Hotwire","119","2016-01-14"
"TRYP By Wyndham Times Square South","Hotels.com","219","2016-01-14"
"Hilton New York","Hotels.com","169","2016-01-14"
"Wyndham New Yorker","Hotwire","118","2016-01-14"
"Four Points by Sheraton Manhattan SoHo Village","Hotwire","179","2016-01-14"
"Doubletree Metropolitan","Orbitz","459","2016-01-14"
"New York Marriott Marquis","Amoma.com","382","2016-01-14"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","Hotwire","159","2016-01-14"
"Ramada Inn Eastside","priceline.com","105","2016-01-14"
"Courtyard New York Manhattan - Chelsea","Amoma.com","229","2016-01-14"
"Pod 39","Travelocity","100","2016-01-14"
"Courtyard New York Times Square West","Amoma.com","230","2016-01-14"
"Four Points by Sheraton Midtown - Times Square","BookIt.com","195","2016-01-14"
"Hampton Inn Manhattan - Times Square North","Orbitz","118","2016-01-15"
"The Hotel at Times Square","priceline.com","104","2016-01-15"
"Grand Hyatt","priceline.com","143","2016-01-15"
"Holiday Inn New York City - Wall Street","Official hotel website","87","2016-01-15"
"La Quinta Inn & Suites Manhattan","Official hotel website","104","2016-01-15"
"Hampton Inn Manhattan-Seaport-Financial District","Expedia","103","2016-01-15"
"The Jane","Hotels.com","95","2016-01-15"
"Novotel New York Times Square","Official hotel website","133","2016-01-15"
"Royalton","TabletHotels","180","2016-01-15"
"Holiday Inn Express NYC Madison Square Garden","Official hotel website","93","2016-01-15"
"Crowne Plaza Times Square Manhattan","Official hotel website","142","2016-01-15"
"The Leon Hotel","priceline.com","111","2016-01-15"
"Distrikt Hotel","Hotwire","128","2016-01-15"
"Holiday Inn Manhattan 6th Ave - Chelsea","Official hotel website","102","2016-01-15"
"TRYP By Wyndham Times Square South","Hoteling","170","2016-01-15"
"Hotel Pennsylvania","Official hotel website","118","2016-01-15"
"Hilton New York","Hotwire","148","2016-01-15"
"Wyndham New Yorker","Orbitz","111","2016-01-15"
"Four Points by Sheraton Manhattan SoHo Village","priceline.com","104","2016-01-15"
"Doubletree Metropolitan","Hotwire","121","2016-01-15"
"New York Marriott Marquis","Official hotel website","160","2016-01-15"
"Ramada Inn Eastside","priceline.com","104","2016-01-15"
"Courtyard New York Manhattan - Chelsea","Official hotel website","103","2016-01-15"
"Pod 39","priceline.com","84","2016-01-15"
"Courtyard New York Times Square West","Official hotel website","133","2016-01-15"
"Hampton Inn Manhattan - Times Square North","Hotwire","118","2016-01-15"
"The Hotel at Times Square","otel.com","111","2016-01-15"
"Grand Hyatt","otel.com","153","2016-01-15"
"Holiday Inn New York City - Wall Street","Expedia","87","2016-01-15"
"La Quinta Inn & Suites Manhattan","priceline.com","104","2016-01-15"
"Hampton Inn Manhattan-Seaport-Financial District","Booking.com","103","2016-01-15"
"The Jane","Travelocity","95","2016-01-15"
"Novotel New York Times Square","Hotwire","133","2016-01-15"
"Royalton","priceline.com","180","2016-01-15"
"Holiday Inn Express NYC Madison Square Garden","priceline.com","93","2016-01-15"
"Crowne Plaza Times Square Manhattan","priceline.com","127","2016-01-15"
"The Leon Hotel","Hotwire","131","2016-01-15"
"Distrikt Hotel","Expedia","128","2016-01-15"
"Holiday Inn Manhattan 6th Ave - Chelsea","Hotels.com","102","2016-01-15"
"TRYP By Wyndham Times Square South","Travelocity","207","2016-01-15"
"Hotel Pennsylvania","otel.com","107","2016-01-15"
"Hilton New York","Hotels.com","148","2016-01-15"
"Wyndham New Yorker","Hotwire","111","2016-01-15"
"Four Points by Sheraton Manhattan SoHo Village","Hotwire","104","2016-01-15"
"Doubletree Metropolitan","priceline.com","121","2016-01-15"
"New York Marriott Marquis","Hotwire","160","2016-01-15"
"Ramada Inn Eastside","HotelTravel","107","2016-01-15"
"Courtyard New York Manhattan - Chelsea","Booking.com","103","2016-01-15"
"Pod 39","Hotwire","84","2016-01-15"
"Courtyard New York Times Square West","Hotwire","118","2016-01-15"
"Hampton Inn Manhattan - Times Square North","priceline.com","118","2016-01-15"
"The Hotel at Times Square","Amoma.com","124","2016-01-15"
"Grand Hyatt","Hotwire","158","2016-01-15"
"Holiday Inn New York City - Wall Street","Amoma.com","169","2016-01-15"
"La Quinta Inn & Suites Manhattan","Amoma.com","124","2016-01-15"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","103","2016-01-15"
"The Jane","Booking.com","98","2016-01-15"
"Novotel New York Times Square","Amoma.com","276","2016-01-15"
"Royalton","Hotwire","193","2016-01-15"
"Holiday Inn Express NYC Madison Square Garden","Hotels.com","93","2016-01-15"
"Crowne Plaza Times Square Manhattan","Hotwire","142","2016-01-15"
"The Leon Hotel","Expedia","131","2016-01-15"
"Distrikt Hotel","Orbitz","128","2016-01-15"
"Holiday Inn Manhattan 6th Ave - Chelsea","Amoma.com","216","2016-01-15"
"TRYP By Wyndham Times Square South","Hotwire","207","2016-01-15"
"Hotel Pennsylvania","Venere.com","118","2016-01-15"
"Hilton New York","priceline.com","148","2016-01-15"
"Wyndham New Yorker","Hotels.com","111","2016-01-15"
"Four Points by Sheraton Manhattan SoHo Village","BookIt.com","104","2016-01-15"
"Doubletree Metropolitan","Expedia","121","2016-01-15"
"New York Marriott Marquis","Amoma.com","256","2016-01-15"
"Ramada Inn Eastside","Amoma.com","124","2016-01-15"
"Courtyard New York Manhattan - Chelsea","Amoma.com","187","2016-01-15"
"Pod 39","Expedia","85","2016-01-15"
"Courtyard New York Times Square West","Amoma.com","226","2016-01-15"
"Hampton Inn Manhattan - Times Square North","BookIt.com","120","2016-01-16"
"Hampton Inn Manhattan-Seaport-Financial District","Expedia","103","2016-01-16"
"The Hotel at Times Square","priceline.com","104","2016-01-16"
"Grand Hyatt","priceline.com","143","2016-01-16"
"La Quinta Inn & Suites Manhattan","Official hotel website","104","2016-01-16"
"Royalton","TabletHotels","180","2016-01-16"
"Crowne Plaza Times Square Manhattan","Official hotel website","124","2016-01-16"
"The Leon Hotel","priceline.com","111","2016-01-16"
"Warwick New York","priceline.com","163","2016-01-16"
"TRYP By Wyndham Times Square South","Hoteling","170","2016-01-16"
"Hotel Pennsylvania","Official hotel website","119","2016-01-16"
"Hilton New York","Hotwire","148","2016-01-16"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","112","2016-01-16"
"Doubletree Metropolitan","Hotwire","121","2016-01-16"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","BookIt.com","138","2016-01-16"
"Courtyard New York Manhattan - Chelsea","Official hotel website","110","2016-01-16"
"Pod 39","priceline.com","84","2016-01-16"
"Four Points by Sheraton Midtown - Times Square","BookIt.com","98","2016-01-16"
"Hudson","Hotwire","111","2016-01-16"
"Park Central","Orbitz","119","2016-01-16"
"Hilton Garden Inn New York - Midtown Park Avenue","priceline.com","","2016-01-16"
"Hotel 32 32","CheapTickets","162","2016-01-16"
"The Kitano New York","priceline.com","177","2016-01-16"
"Sofitel New York","Official hotel website","237","2016-01-16"
"Edison","Hotwire","100","2016-01-16"
"Hampton Inn Manhattan - Times Square North","Orbitz","120","2016-01-16"
"Hampton Inn Manhattan-Seaport-Financial District","Booking.com","103","2016-01-16"
"The Hotel at Times Square","otel.com","111","2016-01-16"
"Grand Hyatt","Prestigia","146","2016-01-16"
"La Quinta Inn & Suites Manhattan","priceline.com","104","2016-01-16"
"Royalton","priceline.com","180","2016-01-16"
"Crowne Plaza Times Square Manhattan","priceline.com","111","2016-01-16"
"The Leon Hotel","Hotwire","131","2016-01-16"
"Warwick New York","Amoma.com","164","2016-01-16"
"TRYP By Wyndham Times Square South","Travelocity","207","2016-01-16"
"Hotel Pennsylvania","otel.com","87","2016-01-16"
"Hilton New York","Hotels.com","148","2016-01-16"
"Four Points by Sheraton Manhattan SoHo Village","Hotwire","112","2016-01-16"
"Doubletree Metropolitan","priceline.com","121","2016-01-16"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","Hotwire","138","2016-01-16"
"Courtyard New York Manhattan - Chelsea","Booking.com","110","2016-01-16"
"Pod 39","Hotwire","84","2016-01-16"
"Four Points by Sheraton Midtown - Times Square","Hotels.com","98","2016-01-16"
"Hudson","BookIt.com","111","2016-01-16"
"Park Central","Travelocity","119","2016-01-16"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-16"
"Hotel 32 32","Orbitz","177","2016-01-16"
"The Kitano New York","Orbitz","177","2016-01-16"
"Sofitel New York","Venere.com","237","2016-01-16"
"Edison","priceline.com","100","2016-01-16"
"Hampton Inn Manhattan - Times Square North","priceline.com","120","2016-01-16"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","103","2016-01-16"
"The Hotel at Times Square","Hoteling","125","2016-01-16"
"Grand Hyatt","otel.com","153","2016-01-16"
"La Quinta Inn & Suites Manhattan","Hoteling","124","2016-01-16"
"Royalton","Hotwire","193","2016-01-16"
"Crowne Plaza Times Square Manhattan","Hotwire","124","2016-01-16"
"The Leon Hotel","Hotels.com","132","2016-01-16"
"Warwick New York","GetaRoom","164","2016-01-16"
"TRYP By Wyndham Times Square South","Venere.com","207","2016-01-16"
"Hotel Pennsylvania","Travelocity","118","2016-01-16"
"Hilton New York","priceline.com","148","2016-01-16"
"Four Points by Sheraton Manhattan SoHo Village","BookIt.com","112","2016-01-16"
"Doubletree Metropolitan","Orbitz","121","2016-01-16"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","Expedia","138","2016-01-16"
"Courtyard New York Manhattan - Chelsea","Hoteling","153","2016-01-16"
"Pod 39","Venere.com","85","2016-01-16"
"Four Points by Sheraton Midtown - Times Square","Expedia","103","2016-01-16"
"Hudson","Travelocity","111","2016-01-16"
"Park Central","priceline.com","119","2016-01-16"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-16"
"Hotel 32 32","Travelocity","","2016-01-16"
"The Kitano New York","Hotwire","177","2016-01-16"
"Sofitel New York","Prestigia","275","2016-01-16"
"Edison","Expedia","100","2016-01-16"
"Hampton Inn Manhattan - Times Square North","BookIt.com","120","2016-01-17"
"Hampton Inn Manhattan-Seaport-Financial District","Expedia","103","2016-01-17"
"The Hotel at Times Square","priceline.com","104","2016-01-17"
"Grand Hyatt","priceline.com","143","2016-01-17"
"La Quinta Inn & Suites Manhattan","Official hotel website","104","2016-01-17"
"Royalton","TabletHotels","180","2016-01-17"
"Crowne Plaza Times Square Manhattan","Official hotel website","124","2016-01-17"
"The Leon Hotel","priceline.com","111","2016-01-17"
"Warwick New York","priceline.com","163","2016-01-17"
"TRYP By Wyndham Times Square South","Hoteling","170","2016-01-17"
"Hotel Pennsylvania","Official hotel website","119","2016-01-17"
"Hilton New York","Hotwire","148","2016-01-17"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","112","2016-01-17"
"Doubletree Metropolitan","Hotwire","121","2016-01-17"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","BookIt.com","138","2016-01-17"
"Courtyard New York Manhattan - Chelsea","Official hotel website","110","2016-01-17"
"Pod 39","priceline.com","84","2016-01-17"
"Four Points by Sheraton Midtown - Times Square","BookIt.com","98","2016-01-17"
"Hudson","Hotwire","111","2016-01-17"
"Park Central","Orbitz","119","2016-01-17"
"Hilton Garden Inn New York - Midtown Park Avenue","priceline.com","","2016-01-17"
"Hotel 32 32","CheapTickets","162","2016-01-17"
"The Kitano New York","priceline.com","177","2016-01-17"
"Sofitel New York","Official hotel website","237","2016-01-17"
"Edison","Hotwire","100","2016-01-17"
"Hampton Inn Manhattan - Times Square North","Orbitz","120","2016-01-17"
"Hampton Inn Manhattan-Seaport-Financial District","Booking.com","103","2016-01-17"
"The Hotel at Times Square","otel.com","111","2016-01-17"
"Grand Hyatt","Prestigia","146","2016-01-17"
"La Quinta Inn & Suites Manhattan","priceline.com","104","2016-01-17"
"Royalton","priceline.com","180","2016-01-17"
"Crowne Plaza Times Square Manhattan","priceline.com","111","2016-01-17"
"The Leon Hotel","Hotwire","131","2016-01-17"
"Warwick New York","Amoma.com","164","2016-01-17"
"TRYP By Wyndham Times Square South","Travelocity","207","2016-01-17"
"Hotel Pennsylvania","otel.com","87","2016-01-17"
"Hilton New York","Hotels.com","148","2016-01-17"
"Four Points by Sheraton Manhattan SoHo Village","Hotwire","112","2016-01-17"
"Doubletree Metropolitan","priceline.com","121","2016-01-17"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","Hotwire","138","2016-01-17"
"Courtyard New York Manhattan - Chelsea","Booking.com","110","2016-01-17"
"Pod 39","Hotwire","84","2016-01-17"
"Four Points by Sheraton Midtown - Times Square","Hotels.com","98","2016-01-17"
"Hudson","BookIt.com","111","2016-01-17"
"Park Central","Travelocity","119","2016-01-17"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-17"
"Hotel 32 32","Orbitz","177","2016-01-17"
"The Kitano New York","Orbitz","177","2016-01-17"
"Sofitel New York","Venere.com","237","2016-01-17"
"Edison","priceline.com","100","2016-01-17"
"Hampton Inn Manhattan - Times Square North","Hotels.com","120","2016-01-17"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","103","2016-01-17"
"The Hotel at Times Square","Hoteling","125","2016-01-17"
"Grand Hyatt","otel.com","153","2016-01-17"
"La Quinta Inn & Suites Manhattan","Hoteling","124","2016-01-17"
"Royalton","Hotwire","193","2016-01-17"
"Crowne Plaza Times Square Manhattan","Hotwire","124","2016-01-17"
"The Leon Hotel","Hotels.com","132","2016-01-17"
"Warwick New York","GetaRoom","164","2016-01-17"
"TRYP By Wyndham Times Square South","Hotwire","207","2016-01-17"
"Hotel Pennsylvania","Travelocity","118","2016-01-17"
"Hilton New York","priceline.com","148","2016-01-17"
"Four Points by Sheraton Manhattan SoHo Village","BookIt.com","112","2016-01-17"
"Doubletree Metropolitan","Orbitz","121","2016-01-17"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","Expedia","138","2016-01-17"
"Courtyard New York Manhattan - Chelsea","Hoteling","153","2016-01-17"
"Pod 39","Venere.com","85","2016-01-17"
"Four Points by Sheraton Midtown - Times Square","Expedia","103","2016-01-17"
"Hudson","Travelocity","111","2016-01-17"
"Park Central","priceline.com","119","2016-01-17"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-17"
"Hotel 32 32","Travelocity","","2016-01-17"
"The Kitano New York","Hotwire","177","2016-01-17"
"Sofitel New York","Prestigia","275","2016-01-17"
"Edison","Expedia","100","2016-01-17"
"Blue Moon","Orbitz","","2016-01-18"
"Skyline Hotel","Orbitz","","2016-01-18"
"The Plaza","Venere.com","6,550","2016-01-18"
"Doubletree Guest Suites Times Square","HRS","","2016-01-18"
"TRYP By Wyndham Times Square South","Orbitz","","2016-01-18"
"The Leon Hotel","Orbitz","","2016-01-18"
"The Surrey","Orbitz","","2016-01-18"
"Trump International Hotel & Tower New York","Venere.com","2,800","2016-01-18"
"JW Marriott Essex House New York","Venere.com","1,274","2016-01-18"
"The San Carlos Hotel","Expedia","658","2016-01-18"
"The Kimberly Hotel","priceline.com","","2016-01-18"
"Wales","Venere.com","488","2016-01-18"
"Comfort Inn Chelsea","Venere.com","518","2016-01-18"
"Hampton Inn & Suites Rockville Centre","Orbitz","","2016-01-18"
"Crowne Plaza Times Square Manhattan","Official hotel website","529","2016-01-18"
"Home2 Suites by Hilton New York Long Island City Manhattan View","Venere.com","408","2016-01-18"
"Hotel Indigo New York City - Chelsea","Official hotel website","598","2016-01-18"
"Holiday Inn Manhattan 6th Ave - Chelsea","Official hotel website","351","2016-01-18"
"Holiday Inn Express Manhattan West","Official hotel website","325","2016-01-18"
"Comfort Inn Lower East Side","Official hotel website","617","2016-01-18"
"Holiday Inn Long Island City - Manhattan View","Official hotel website","358","2016-01-18"
"InterContinental New York Times Square","Official hotel website","658","2016-01-18"
"Holiday Inn Midtown 57th Street","Official hotel website","294","2016-01-18"
"Holiday Inn Express Queens - Maspeth","Official hotel website","290","2016-01-18"
"Holiday Inn Manhattan Financial District","Official hotel website","314","2016-01-18"
"Blue Moon","priceline.com","","2016-01-18"
"Skyline Hotel","otel.com","","2016-01-18"
"The Plaza","Orbitz","","2016-01-18"
"Doubletree Guest Suites Times Square","priceline.com","","2016-01-18"
"TRYP By Wyndham Times Square South","Easytobook","","2016-01-18"
"The Leon Hotel","Booking.com","","2016-01-18"
"The Surrey","priceline.com","","2016-01-18"
"Trump International Hotel & Tower New York","Orbitz","","2016-01-18"
"JW Marriott Essex House New York","Orbitz","","2016-01-18"
"The San Carlos Hotel","Orbitz","","2016-01-18"
"The Kimberly Hotel","otel.com","","2016-01-18"
"Wales","Orbitz","","2016-01-18"
"Comfort Inn Chelsea","Orbitz","","2016-01-18"
"Hampton Inn & Suites Rockville Centre","HRS","","2016-01-18"
"Crowne Plaza Times Square Manhattan","Orbitz","","2016-01-18"
"Home2 Suites by Hilton New York Long Island City Manhattan View","Orbitz","","2016-01-18"
"Hotel Indigo New York City - Chelsea","Orbitz","","2016-01-18"
"Holiday Inn Manhattan 6th Ave - Chelsea","Orbitz","","2016-01-18"
"Holiday Inn Express Manhattan West","Orbitz","","2016-01-18"
"Comfort Inn Lower East Side","Orbitz","","2016-01-18"
"Holiday Inn Long Island City - Manhattan View","Orbitz","","2016-01-18"
"InterContinental New York Times Square","Orbitz","","2016-01-18"
"Holiday Inn Midtown 57th Street","Orbitz","","2016-01-18"
"Holiday Inn Express Queens - Maspeth","Orbitz","","2016-01-18"
"Holiday Inn Manhattan Financial District","Orbitz","","2016-01-18"
"Blue Moon","otel.com","","2016-01-18"
"Skyline Hotel","GetaRoom","","2016-01-18"
"The Plaza","Hotels.com","","2016-01-18"
"Doubletree Guest Suites Times Square","otel.com","","2016-01-18"
"TRYP By Wyndham Times Square South","Expedia","","2016-01-18"
"The Leon Hotel","Hotels.com","","2016-01-18"
"The Surrey","GetaRoom","","2016-01-18"
"Trump International Hotel & Tower New York","otel.com","","2016-01-18"
"JW Marriott Essex House New York","HRS","","2016-01-18"
"The San Carlos Hotel","HRS","","2016-01-18"
"The Kimberly Hotel","GetaRoom","","2016-01-18"
"Wales","Easytobook","","2016-01-18"
"Comfort Inn Chelsea","priceline.com","","2016-01-18"
"Hampton Inn & Suites Rockville Centre","priceline.com","","2016-01-18"
"Crowne Plaza Times Square Manhattan","HRS","","2016-01-18"
"Home2 Suites by Hilton New York Long Island City Manhattan View","priceline.com","","2016-01-18"
"Hotel Indigo New York City - Chelsea","HRS","","2016-01-18"
"Holiday Inn Manhattan 6th Ave - Chelsea","HRS","","2016-01-18"
"Holiday Inn Express Manhattan West","Expedia","","2016-01-18"
"Comfort Inn Lower East Side","Easytobook","","2016-01-18"
"Holiday Inn Long Island City - Manhattan View","HRS","","2016-01-18"
"InterContinental New York Times Square","HRS","","2016-01-18"
"Holiday Inn Midtown 57th Street","HRS","","2016-01-18"
"Holiday Inn Express Queens - Maspeth","HRS","","2016-01-18"
"Holiday Inn Manhattan Financial District","priceline.com","","2016-01-18"
"The Hotel at Times Square","priceline.com","104","2016-01-19"
"Grand Hyatt","priceline.com","143","2016-01-19"
"Holiday Inn New York City - Wall Street","Official hotel website","87","2016-01-19"
"The Jane","Travelocity","95","2016-01-19"
"Novotel New York Times Square","Official hotel website","133","2016-01-19"
"Royalton","TabletHotels","180","2016-01-19"
"Crowne Plaza Times Square Manhattan","Official hotel website","142","2016-01-19"
"The Leon Hotel","priceline.com","111","2016-01-19"
"Distrikt Hotel","Expedia","128","2016-01-19"
"Holiday Inn Manhattan 6th Ave - Chelsea","Official hotel website","102","2016-01-19"
"TRYP By Wyndham Times Square South","Hoteling","170","2016-01-19"
"Hotel Pennsylvania","Official hotel website","118","2016-01-19"
"Hilton New York","Hotwire","148","2016-01-19"
"Four Points by Sheraton Manhattan SoHo Village","priceline.com","104","2016-01-19"
"Doubletree Metropolitan","Hotwire","121","2016-01-19"
"New York Marriott Marquis","Official hotel website","160","2016-01-19"
"Ramada Inn Eastside","priceline.com","104","2016-01-19"
"Courtyard New York Manhattan - Chelsea","Official hotel website","103","2016-01-19"
"Hampton Inn Manhattan-Seaport-Financial District","Booking.com","103","2016-01-19"
"Pod 39","priceline.com","84","2016-01-19"
"Courtyard New York Times Square West","Official hotel website","133","2016-01-19"
"Four Points by Sheraton Midtown - Times Square","BookIt.com","94","2016-01-19"
"Hudson","Expedia","117","2016-01-19"
"Park Central","priceline.com","119","2016-01-19"
"Hilton Garden Inn New York - Midtown Park Avenue","priceline.com","","2016-01-19"
"The Hotel at Times Square","otel.com","111","2016-01-19"
"Grand Hyatt","otel.com","153","2016-01-19"
"Holiday Inn New York City - Wall Street","Expedia","87","2016-01-19"
"The Jane","Hotels.com","96","2016-01-19"
"Novotel New York Times Square","Hotwire","133","2016-01-19"
"Royalton","priceline.com","182","2016-01-19"
"Crowne Plaza Times Square Manhattan","priceline.com","127","2016-01-19"
"The Leon Hotel","Hotwire","131","2016-01-19"
"Distrikt Hotel","Orbitz","128","2016-01-19"
"Holiday Inn Manhattan 6th Ave - Chelsea","Hotels.com","102","2016-01-19"
"TRYP By Wyndham Times Square South","Travelocity","207","2016-01-19"
"Hotel Pennsylvania","otel.com","107","2016-01-19"
"Hilton New York","Hotels.com","148","2016-01-19"
"Four Points by Sheraton Manhattan SoHo Village","BookIt.com","104","2016-01-19"
"Doubletree Metropolitan","priceline.com","121","2016-01-19"
"New York Marriott Marquis","priceline.com","160","2016-01-19"
"Ramada Inn Eastside","HotelTravel","107","2016-01-19"
"Courtyard New York Manhattan - Chelsea","Booking.com","103","2016-01-19"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","103","2016-01-19"
"Pod 39","Hotwire","84","2016-01-19"
"Courtyard New York Times Square West","Hotwire","118","2016-01-19"
